Company,Rating,Position,Salary,Size,Founded,Type,Industry,Sector,Revenue,Location
CIEL HR Services,4.2,CIEL/SEL/18750: Data Scientist,₹200K - ₹642K (Glassdoor Est.),201 to 500 Employees,2015,Company - Private,Staffing & Outsourcing,Business Service,$25 to $50 million (USD),Pune
Evolent Health,3.6,Sr Data Scientist,,1001 to 5000 Employees,2011,Company - Public,Healthcare Services & Hospital,Healthcare,$25 to $50 million (USD),Pune
Wolters Kluwer,3.7,Senior Data Scientist (Full-Stack + Dev Ops),₹515K - ₹665K (Glassdoor Est.),10000+ Employees,1836,Company - Public,Consulting,Business Service,$2 to $5 billion (USD),Pune
Icertis,4.0,Principal Data Scientist,₹609K - ₹939K (Glassdoor Est.),1001 to 5000 Employees,2009,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,Pune
Emerson,3.8,Operations Analytics & Data Scientist,₹548K - ₹747K (Glassdoor Est.),10000+ Employees,1890,Company - Public,Electrical & Electronic Manufacturing,Manufacturing,$10+ billion (USD),Pune
Wolters Kluwer,3.7,Lead Data Scientist,,10000+ Employees,1836,Company - Public,Consulting,Business Service,$2 to $5 billion (USD),Pune
Bajaj FinServ,3.4,Senior Data Scientist/Senior Data Scientist,₹204K - ₹480K (Glassdoor Est.),10000+ Employees,,Subsidiary or Business Segment,Lending,Finance,Unknown / Non-Applicable,Pune
QuinStreet,3.9,Data Analyst,₹420K - ₹750K (Glassdoor Est.),501 to 1000 Employees,1999,Company - Public,Advertising & Marketing,Business Service,$500 million to $1 billion (USD),Pune
Workday,4.2,Senior Data Scientist – Audit and Analytics (Pune Based),₹383K - ₹734K (Glassdoor Est.),10000+ Employees,2005,Company - Public,Enterprise Software & Network Solutions,Information Technology,$2 to $5 billion (USD),Pune
Citco,3.3,Data Analyst,₹557K - ₹781K (Glassdoor Est.),5001 to 10000 Employees,1948,Company - Private,Investment Banking & Asset Management,Finance,Unknown / Non-Applicable,Pune
Easebuzz,3.3,Senior Data Scientist,₹347K - ₹753K (Glassdoor Est.),1 to 50 Employees,,Company - Private,,,Unknown / Non-Applicable,Pune
ArrayGen Technologies,3.4,Data Scientist( Statistics Specialization),,1 to 50 Employees,,Company - Private,Biotech & Pharmaceutical,Biotech & Pharmaceutical,Unknown / Non-Applicable,Pune
DeepIntent,4.7,Data Analyst,₹300K - ₹430K (Glassdoor Est.),51 to 200 Employees,2016,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,Pune
Aera Technology,4.3,Machine Learning Engineer,₹324K - ₹640K (Glassdoor Est.),201 to 500 Employees,2017,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,Pune
KNOREX,3.4,Data Engineer (ETL),₹468K - ₹784K (Glassdoor Est.),51 to 200 Employees,2009,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,Pune
Foghorn Systems,4.1,Machine Learning Engineer,₹299K - ₹640K (Glassdoor Est.),51 to 200 Employees,2014,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,Pune
MathWorks,4.4,"Application Engineer, Data Science",₹456K - ₹680K (Glassdoor Est.),5001 to 10000 Employees,1984,Company - Private,Computer Hardware & Software,Information Technology,$1 to $2 billion (USD),Pune
